# unidata-5.1.0.txt
# Date: 2008-03-04, 10:55:08 PST [KW]
#
# This file defines the Default Unicode Collation Element Table
#   (DUCET) for the Unicode Collation Algorithm
#
# Copyright (c) 2001-2008 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# See UTS #10, Unicode Collation Algorithm, for more information.
#
# Diagnostic weight ranges
# Primary weight range:   0200..3266 (12391)
# Secondary weight range: 0020..01DE (447)
# Variant secondaries:    01AF..01B4 (6)
# Digit secondaries:      01B5..01DE (42)
# Tertiary weight range:  0002..001F (30)
#
@version 5.1.0

0122  ; [.11E2.0020.0008.0047][.0000.0056.0002.0327] # LATIN CAPITAL LETTER G WITH CEDILLA; QQCM
1E21  ; [.11E2.0020.0002.0067][.0000.005B.0002.0304] # LATIN SMALL LETTER G WITH MACRON; QQCM
1E20  ; [.11E2.0020.0008.0047][.0000.005B.0002.0304] # LATIN CAPITAL LETTER G WITH MACRON; QQCM
A77D  ; [.11E2.0020.000A.A77D][.0000.01B0.0004.A77D] # LATIN CAPITAL LETTER INSULAR G; QQKN
33FF  ; [.11E2.0020.001C.33FF][.1141.0020.001C.33FF][.1262.0020.001F.33FF] # SQUARE GAL; QQKN
3387  ; [.11E2.0020.001D.3387][.1157.0020.001D.3387] # SQUARE GB; QQKN
3393  ; [.11E2.0020.001D.3393][.1205.0020.001D.3393][.13DF.0020.001F.3393] # SQUARE GHZ; QQKN
33AC  ; [.11E2.0020.001D.33AC][.12E5.0020.001D.33AC][.1141.0020.001F.33AC] # SQUARE GPA; QQKN
33C9  ; [.11E2.0020.001D.33C9][.13CE.0020.001C.33C9] # SQUARE GY; QQKN
0261  ; [.11E6.0020.0002.0261] # LATIN SMALL LETTER SCRIPT G
0262  ; [.11EA.0020.0002.0262] # LATIN LETTER SMALL CAPITAL G
01E5  ; [.11EE.0020.0002.01E5] # LATIN SMALL LETTER G WITH STROKE
01E4  ; [.11EE.0020.0008.01E4] # LATIN CAPITAL LETTER G WITH STROKE
0260  ; [.11F3.0020.0002.0260] # LATIN SMALL LETTER G WITH HOOK
0193  ; [.11F3.0020.0008.0193] # LATIN CAPITAL LETTER G WITH HOOK
029B  ; [.11F7.0020.0002.029B] # LATIN LETTER SMALL CAPITAL G WITH HOOK
A77F  ; [.11FC.0020.0002.A77F] # LATIN SMALL LETTER TURNED INSULAR G
A77E  ; [.11FC.0020.0008.A77E] # LATIN CAPITAL LETTER TURNED INSULAR G
0263  ; [.11FD.0020.0002.0263] # LATIN SMALL LETTER GAMMA
0194  ; [.11FD.0020.0008.0194] # LATIN CAPITAL LETTER GAMMA
02E0  ; [.11FD.0020.0014.02E0] # MODIFIER LETTER SMALL GAMMA; QQK
01A3  ; [.1201.0020.0002.01A3] # LATIN SMALL LETTER OI
01A2  ; [.1201.0020.0008.01A2] # LATIN CAPITAL LETTER OI
0068  ; [.1205.0020.0002.0068] # LATIN SMALL LETTER H
FF48  ; [.1205.0020.0003.FF48] # FULLWIDTH LATIN SMALL LETTER H; QQK
036A  ; [.1205.0020.0004.036A] # COMBINING LATIN SMALL LETTER H; QQK
24A3  ; [*02C8.0020.0004.24A3][.1205.0020.0004.24A3][*02C9.0020.001F.24A3] # PARENTHESIZED LATIN SMALL LETTER H; QQKN
210E  ; [.1205.0020.0005.210E] # PLANCK CONSTANT; QQK
24D7  ; [.1205.0020.0006.24D7] # CIRCLED LATIN SMALL LETTER H; QQK
0048  ; [.1205.0020.0008.0048] # LATIN CAPITAL LETTER H
FF28  ; [.1205.0020.0009.FF28] # FULLWIDTH LATIN CAPITAL LETTER H; QQK
210B  ; [.1205.0020.000B.210B] # SCRIPT CAPITAL H; QQK
210C  ; [.1205.0020.000B.210C] # BLACK-LETTER CAPITAL H; QQK
210D  ; [.1205.0020.000B.210D] # DOUBLE-STRUCK CAPITAL H; QQK
24BD  ; [.1205.0020.000C.24BD] # CIRCLED LATIN CAPITAL LETTER H; QQK
02B0  ; [.1205.0020.0014.02B0] # MODIFIER LETTER SMALL H; QQK
0125  ; [.1205.0020.0002.0068][.0000.003C.0002.0302] # LATIN SMALL LETTER H WITH CIRCUMFLEX; QQCM
0124  ; [.1205.0020.0008.0048][.0000.003C.0002.0302] # LATIN CAPITAL LETTER H WITH CIRCUMFLEX; QQCM
021F  ; [.1205.0020.0002.0068][.0000.0041.0002.030C] # LATIN SMALL LETTER H WITH CARON; QQCM
021E  ; [.1205.0020.0008.0048][.0000.0041.0002.030C] # LATIN CAPITAL LETTER H WITH CARON; QQCM
1E27  ; [.1205.0020.0002.0068][.0000.0047.0002.0308] # LATIN SMALL LETTER H WITH DIAERESIS; QQCM
1E26  ; [.1205.0020.0008.0048][.0000.0047.0002.0308] # LATIN CAPITAL LETTER H WITH DIAERESIS; QQCM
1E23  ; [.1205.0020.0002.0068][.0000.0052.0002.0307] # LATIN SMALL LETTER H WITH DOT ABOVE; QQCM
1E22  ; [.1205.0020.0008.0048][.0000.0052.0002.0307] # LATIN CAPITAL LETTER H WITH DOT ABOVE; QQCM
1E29  ; [.1205.0020.0002.0068][.0000.0056.0002.0327] # LATIN SMALL LETTER H WITH CEDILLA; QQCM
1E28  ; [.1205.0020.0008.0048][.0000.0056.0002.0327] # LATIN CAPITAL LETTER H WITH CEDILLA; QQCM
1E25  ; [.1205.0020.0002.0068][.0000.007A.0002.0323] # LATIN SMALL LETTER H WITH DOT BELOW; QQCM
1E24  ; [.1205.0020.0008.0048][.0000.007A.0002.0323] # LATIN CAPITAL LETTER H WITH DOT BELOW; QQCM
1E2B  ; [.1205.0020.0002.0068][.0000.0087.0002.032E] # LATIN SMALL LETTER H WITH BREVE BELOW; QQCM
1E2A  ; [.1205.0020.0008.0048][.0000.0087.0002.032E] # LATIN CAPITAL LETTER H WITH BREVE BELOW; QQCM
1E96  ; [.1205.0020.0002.0068][.0000.008A.0002.0331] # LATIN SMALL LETTER H WITH LINE BELOW; QQCM
0127  ; [.1205.0020.0002.0068][.0000.008D.0002.0335] # LATIN SMALL LETTER H WITH STROKE; QQCM
210F  ; [.1205.0020.0002.210F][.0000.008D.0002.210F] # PLANCK CONSTANT OVER TWO PI; QQKN
0126  ; [.1205.0020.0008.0048][.0000.008D.0002.0335] # LATIN CAPITAL LETTER H WITH STROKE; QQCM
33CA  ; [.1205.0020.001C.33CA][.1141.0020.001C.33CA] # SQUARE HA; QQKN
32CC  ; [.1205.0020.001D.32CC][.11E2.0020.001C.32CC] # SQUARE HG; QQKN
33CB  ; [.1205.0020.001D.33CB][.12E5.0020.001D.33CB] # SQUARE HP; QQKN
3371  ; [.1205.0020.001C.3371][.12E5.0020.001D.3371][.1141.0020.001F.3371] # SQUARE HPA; QQKN
3390  ; [.1205.0020.001D.3390][.13DF.0020.001C.3390] # SQUARE HZ; QQKN
029C  ; [.1209.0020.0002.029C] # LATIN LETTER SMALL CAPITAL H
0195  ; [.120D.0020.0002.0195] # LATIN SMALL LETTER HV
01F6  ; [.120D.0020.0008.01F6] # LATIN CAPITAL LETTER HWAIR
0266  ; [.1211.0020.0002.0266] # LATIN SMALL LETTER H WITH HOOK
02B1  ; [.1211.0020.0014.02B1] # MODIFIER LETTER SMALL H WITH HOOK; QQK
2C68  ; [.1215.0020.0002.2C68] # LATIN SMALL LETTER H WITH DESCENDER
2C67  ; [.1215.0020.0008.2C67] # LATIN CAPITAL LETTER H WITH DESCENDER
2C76  ; [.1216.0020.0002.2C76] # LATIN SMALL LETTER HALF H
2C75  ; [.1216.0020.0008.2C75] # LATIN CAPITAL LETTER HALF H
A727  ; [.1217.0020.0002.A727] # LATIN SMALL LETTER HENG
A726  ; [.1217.0020.0008.A726] # LATIN CAPITAL LETTER HENG
0267  ; [.1218.0020.0002.0267] # LATIN SMALL LETTER HENG WITH HOOK
02BB  ; [.121C.0020.0002.02BB] # MODIFIER LETTER TURNED COMMA
02BD  ; [.121D.0020.0002.02BD] # MODIFIER LETTER REVERSED COMMA
0069  ; [.121E.0020.0002.0069] # LATIN SMALL LETTER I
FF49  ; [.121E.0020.0003.FF49] # FULLWIDTH LATIN SMALL LETTER I; QQK
0365  ; [.121E.0020.0004.0365] # COMBINING LATIN SMALL LETTER I; QQK
2170  ; [.121E.0020.0004.2170] # SMALL ROMAN NUMERAL ONE; QQK
24A4  ; [*02C8.0020.0004.24A4][.121E.0020.0004.24A4][*02C9.0020.001F.24A4] # PARENTHESIZED LATIN SMALL LETTER I; QQKN
2139  ; [.121E.0020.0005.2139] # INFORMATION SOURCE; QQK
2148  ; [.121E.0020.0005.2148] # DOUBLE-STRUCK ITALIC SMALL I; QQK
24D8  ; [.121E.0020.0006.24D8] # CIRCLED LATIN SMALL LETTER I; QQK
0049  ; [.121E.0020.0008.0049] # LATIN CAPITAL LETTER I
FF29  ; [.121E.0020.0009.FF29] # FULLWIDTH LATIN CAPITAL LETTER I; QQK
2160  ; [.121E.0020.000A.2160] # ROMAN NUMERAL ONE; QQK
2110  ; [.121E.0020.000B.2110] # SCRIPT CAPITAL I; QQK
2111  ; [.121E.0020.000B.2111] # BLACK-LETTER CAPITAL I; QQK
24BE  ; [.121E.0020.000C.24BE] # CIRCLED LATIN CAPITAL LETTER I; QQK
2071  ; [.121E.0020.0014.2071] # SUPERSCRIPT LATIN SMALL LETTER I; QQK
00ED  ; [.121E.0020.0002.0069][.0000.0032.0002.0301] # LATIN SMALL LETTER I WITH ACUTE; QQCM
00CD  ; [.121E.0020.0008.0049][.0000.0032.0002.0301] # LATIN CAPITAL LETTER I WITH ACUTE; QQCM
00EC  ; [.121E.0020.0002.0069][.0000.0035.0002.0300] # LATIN SMALL LETTER I WITH GRAVE; QQCM
00CC  ; [.121E.0020.0008.0049][.0000.0035.0002.0300] # LATIN CAPITAL LETTER I WITH GRAVE; QQCM
012D  ; [.121E.0020.0002.0069][.0000.0037.0002.0306] # LATIN SMALL LETTER I WITH BREVE; QQCM
012C  ; [.121E.0020.0008.0049][.0000.0037.0002.0306] # LATIN CAPITAL LETTER I WITH BREVE; QQCM
00EE  ; [.121E.0020.0002.0069][.0000.003C.0002.0302] # LATIN SMALL LETTER I WITH CIRCUMFLEX; QQCM
00CE  ; [.121E.0020.0008.0049][.0000.003C.0002.0302] # LATIN CAPITAL LETTER I WITH CIRCUMFLEX; QQCM
01D0  ; [.121E.0020.0002.0069][.0000.0041.0002.030C] # LATIN SMALL LETTER I WITH CARON; QQCM
01CF  ; [.121E.0020.0008.0049][.0000.0041.0002.030C] # LATIN CAPITAL LETTER I WITH CARON; QQCM
00EF  ; [.121E.0020.0002.0069][.0000.0047.0002.0308] # LATIN SMALL LETTER I WITH DIAERESIS; QQCM
00CF  ; [.121E.0020.0008.0049][.0000.0047.0002.0308] # LATIN CAPITAL LETTER I WITH DIAERESIS; QQCM
1E2F  ; [.121E.0020.0002.0069][.0000.0047.0002.0308][.0000.0032.0002.0301] # LATIN SMALL LETTER I WITH DIAERESIS AND ACUTE; QQCM
1E2E  ; [.121E.0020.0008.0049][.0000.0047.0002.0308][.0000.0032.0002.0301] # LATIN CAPITAL LETTER I WITH DIAERESIS AND ACUTE; QQCM
0129  ; [.121E.0020.0002.0069][.0000.004E.0002.0303] # LATIN SMALL LETTER I WITH TILDE; QQCM
0128  ; [.121E.0020.0008.0049][.0000.004E.0002.0303] # LATIN CAPITAL LETTER I WITH TILDE; QQCM
0130  ; [.121E.0020.0008.0049][.0000.0052.0002.0307] # LATIN CAPITAL LETTER I WITH DOT ABOVE; QQCM
012F  ; [.121E.0020.0002.0069][.0000.0059.0002.0328] # LATIN SMALL LETTER I WITH OGONEK; QQCM
012E  ; [.121E.0020.0008.0049][.0000.0059.0002.0328] # LATIN CAPITAL LETTER I WITH OGONEK; QQCM
012B  ; [.121E.0020.0002.0069][.0000.005B.0002.0304] # LATIN SMALL LETTER I WITH MACRON; QQCM
012A  ; [.121E.0020.0008.0049][.0000.005B.0002.0304] # LATIN CAPITAL LETTER I WITH MACRON; QQCM
1EC9  ; [.121E.0020.0002.0069][.0000.0060.0002.0309] # LATIN SMALL LETTER I WITH HOOK ABOVE; QQCM
1EC8  ; [.121E.0020.0008.0049][.0000.0060.0002.0309] # LATIN CAPITAL LETTER I WITH HOOK ABOVE; QQCM
0209  ; [.121E.0020.0002.0069][.0000.0063.0002.030F] # LATIN SMALL LETTER I WITH DOUBLE GRAVE; QQCM
0208  ; [.121E.0020.0008.0049][.0000.0063.0002.030F] # LATIN CAPITAL LETTER I WITH DOUBLE GRAVE; QQCM
020B  ; [.121E.0020.0002.0069][.0000.0065.0002.0311] # LATIN SMALL LETTER I WITH INVERTED BREVE; QQCM
020A  ; [.121E.0020.0008.0049][.0000.0065.0002.0311] # LATIN CAPITAL LETTER I WITH INVERTED BREVE; QQCM
1ECB  ; [.121E.0020.0002.0069][.0000.007A.0002.0323] # LATIN SMALL LETTER I WITH DOT BELOW; QQCM
1ECA  ; [.121E.0020.0008.0049][.0000.007A.0002.0323] # LATIN CAPITAL LETTER I WITH DOT BELOW; QQCM
1E2D  ; [.121E.0020.0002.0069][.0000.0089.0002.0330] # LATIN SMALL LETTER I WITH TILDE BELOW; QQCM
1E2C  ; [.121E.0020.0008.0049][.0000.0089.0002.0330] # LATIN CAPITAL LETTER I WITH TILDE BELOW; QQCM
2171  ; [.121E.0020.0004.2171][.121E.0020.0004.2171] # SMALL ROMAN NUMERAL TWO; QQKN
2161  ; [.121E.0020.000A.2161][.121E.0020.000A.2161] # ROMAN NUMERAL TWO; QQKN
2172  ; [.121E.0020.0004.2172][.121E.0020.0004.2172][.121E.0020.001F.2172] # SMALL ROMAN NUMERAL THREE; QQKN
2162  ; [.121E.0020.000A.2162][.121E.0020.000A.2162][.121E.0020.001F.2162] # ROMAN NUMERAL THREE; QQKN
0133  ; [.121E.0020.0004.0133][.1237.0020.0004.0133] # LATIN SMALL LIGATURE IJ; QQKN
0132  ; [.121E.0020.000A.0132][.1237.0020.000A.0132] # LATIN CAPITAL LIGATURE IJ; QQKN
33CC  ; [.121E.0020.001C.33CC][.129F.0020.001C.33CC] # SQUARE IN; QQKN
337A  ; [.121E.0020.001D.337A][.1385.0020.001D.337A] # SQUARE IU; QQKN
2173  ; [.121E.0020.0004.2173][.13AD.0020.0004.2173] # SMALL ROMAN NUMERAL FOUR; QQKN
2163  ; [.121E.0020.000A.2163][.13AD.0020.000A.2163] # ROMAN NUMERAL FOUR; QQKN
2178  ; [.121E.0020.0004.2178][.13C9.0020.0004.2178] # SMALL ROMAN NUMERAL NINE; QQKN
2168  ; [.121E.0020.000A.2168][.13C9.0020.000A.2168] # ROMAN NUMERAL NINE; QQKN
0131  ; [.1222.0020.0002.0131] # LATIN SMALL LETTER DOTLESS I
026A  ; [.1226.0020.0002.026A] # LATIN LETTER SMALL CAPITAL I
A7FE  ; [.122A.0020.0002.A7FE] # LATIN EPIGRAPHIC LETTER I LONGA
0268  ; [.122C.0020.0002.0268] # LATIN SMALL LETTER I WITH STROKE
0197  ; [.122C.0020.0008.0197] # LATIN CAPITAL LETTER I WITH STROKE
0269  ; [.1232.0020.0002.0269] # LATIN SMALL LETTER IOTA
0196  ; [.1232.0020.0008.0196] # LATIN CAPITAL LETTER IOTA
006A  ; [.1237.0020.0002.006A] # LATIN SMALL LETTER J
FF4A  ; [.1237.0020.0003.FF4A] # FULLWIDTH LATIN SMALL LETTER J; QQK
24A5  ; [*02C8.0020.0004.24A5][.1237.0020.0004.24A5][*02C9.0020.001F.24A5] # PARENTHESIZED LATIN SMALL LETTER J; QQKN
2149  ; [.1237.0020.0005.2149] # DOUBLE-STRUCK ITALIC SMALL J; QQK
24D9  ; [.1237.0020.0006.24D9] # CIRCLED LATIN SMALL LETTER J; QQK
004A  ; [.1237.0020.0008.004A] # LATIN CAPITAL LETTER J
FF2A  ; [.1237.0020.0009.FF2A] # FULLWIDTH LATIN CAPITAL LETTER J; QQK
24BF  ; [.1237.0020.000C.24BF] # CIRCLED LATIN CAPITAL LETTER J; QQK
02B2  ; [.1237.0020.0014.02B2] # MODIFIER LETTER SMALL J; QQK
2C7C  ; [.1237.0020.0015.2C7C] # LATIN SUBSCRIPT SMALL LETTER J; QQK
0135  ; [.1237.0020.0002.006A][.0000.003C.0002.0302] # LATIN SMALL LETTER J WITH CIRCUMFLEX; QQCM
0134  ; [.1237.0020.0008.004A][.0000.003C.0002.0302] # LATIN CAPITAL LETTER J WITH CIRCUMFLEX; QQCM
01F0  ; [.1237.0020.0002.006A][.0000.0041.0002.030C] # LATIN SMALL LETTER J WITH CARON; QQCM
0237  ; [.123B.0020.0002.0237] # LATIN SMALL LETTER DOTLESS J
0249  ; [.1240.0020.0002.0249] # LATIN SMALL LETTER J WITH STROKE
0248  ; [.1240.0020.0008.0248] # LATIN CAPITAL LETTER J WITH STROKE
029D  ; [.1244.0020.0002.029D] # LATIN SMALL LETTER J WITH CROSSED-TAIL
025F  ; [.1248.0020.0002.025F] # LATIN SMALL LETTER DOTLESS J WITH STROKE
0284  ; [.124C.0020.0002.0284] # LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK
006B  ; [.1250.0020.0002.006B] # LATIN SMALL LETTER K
FF4B  ; [.1250.0020.0003.FF4B] # FULLWIDTH LATIN SMALL LETTER K; QQK
24A6  ; [*02C8.0020.0004.24A6][.1250.0020.0004.24A6][*02C9.0020.001F.24A6] # PARENTHESIZED LATIN SMALL LETTER K; QQKN
24DA  ; [.1250.0020.0006.24DA] # CIRCLED LATIN SMALL LETTER K; QQK
004B  ; [.1250.0020.0008.004B] # LATIN CAPITAL LETTER K
212A  ; [.1250.0020.0008.212A] # KELVIN SIGN; QQC
FF2B  ; [.1250.0020.0009.FF2B] # FULLWIDTH LATIN CAPITAL LETTER K; QQK
24C0  ; [.1250.0020.000C.24C0] # CIRCLED LATIN CAPITAL LETTER K; QQK
1E31  ; [.1250.0020.0002.006B][.0000.0032.0002.0301] # LATIN SMALL LETTER K WITH ACUTE; QQCM
1E30  ; [.1250.0020.0008.004B][.0000.0032.0002.0301] # LATIN CAPITAL LETTER K WITH ACUTE; QQCM
01E9  ; [.1250.0020.0002.006B][.0000.0041.0002.030C] # LATIN SMALL LETTER K WITH CARON; QQCM
01E8  ; [.1250.0020.0008.004B][.0000.0041.0002.030C] # LATIN CAPITAL LETTER K WITH CARON; QQCM
0137  ; [.1250.0020.0002.006B][.0000.0056.0002.0327] # LATIN SMALL LETTER K WITH CEDILLA; QQCM
0136  ; [.1250.0020.0008.004B][.0000.0056.0002.0327] # LATIN CAPITAL LETTER K WITH CEDILLA; QQCM
1E33  ; [.1250.0020.0002.006B][.0000.007A.0002.0323] # LATIN SMALL LETTER K WITH DOT BELOW; QQCM
1E32  ; [.1250.0020.0008.004B][.0000.007A.0002.0323] # LATIN CAPITAL LETTER K WITH DOT BELOW; QQCM
1E35  ; [.1250.0020.0002.006B][.0000.008A.0002.0331] # LATIN SMALL LETTER K WITH LINE BELOW; QQCM
1E34  ; [.1250.0020.0008.004B][.0000.008A.0002.0331] # LATIN CAPITAL LETTER K WITH LINE BELOW; QQCM
3384  ; [.1250.0020.001C.3384][.1141.0020.001D.3384] # SQUARE KA; QQKN
3385  ; [.1250.0020.001D.3385][.1157.0020.001D.3385] # SQUARE KB; QQKN
3389  ; [.1250.0020.001C.3389][.116F.0020.001C.3389][.1141.0020.001F.3389][.1262.0020.001F.3389] # SQUARE KCAL; QQKN
338F  ; [.1250.0020.001C.338F][.11E2.0020.001C.338F] # SQUARE KG; QQKN
3391  ; [.1250.0020.001C.3391][.1205.0020.001D.3391][.13DF.0020.001F.3391] # SQUARE KHZ; QQKN
33CD  ; [.1250.0020.001D.33CD][.1250.0020.001D.33CD] # SQUARE KK; QQKN
3398  ; [.1250.0020.001C.3398][.1262.0020.001C.3398] # SQUARE KL; QQKN
339E  ; [.1250.0020.001C.339E][.1291.0020.001C.339E] # SQUARE KM; QQKN
33CE  ; [.1250.0020.001D.33CE][.1291.0020.001D.33CE] # SQUARE KM CAPITAL; QQKN
33A2  ; [.1250.0020.001C.33A2][.1291.0020.001C.33A2][.1139.0020.001F.33A2] # SQUARE KM SQUARED; QQKN
33A6  ; [.1250.0020.001C.33A6][.1291.0020.001C.33A6][.113A.0020.001F.33A6] # SQUARE KM CUBED; QQKN
33AA  ; [.1250.0020.001C.33AA][.12E5.0020.001D.33AA][.1141.0020.001F.33AA] # SQUARE KPA; QQKN
33CF  ; [.1250.0020.001C.33CF][.1365.0020.001C.33CF] # SQUARE KT; QQKN
33B8  ; [.1250.0020.001C.33B8][.13AD.0020.001D.33B8] # SQUARE KV; QQKN
33BE  ; [.1250.0020.001C.33BE][.13BF.0020.001D.33BE] # SQUARE KW; QQKN
33C0  ; [.1250.0020.001C.33C0][.149F.0020.001D.33C0] # SQUARE K OHM; QQKN
0199  ; [.1256.0020.0002.0199] # LATIN SMALL LETTER K WITH HOOK
0198  ; [.1256.0020.0008.0198] # LATIN CAPITAL LETTER K WITH HOOK
2C6A  ; [.125A.0020.0002.2C6A] # LATIN SMALL LETTER K WITH DESCENDER
2C69  ; [.125A.0020.0008.2C69] # LATIN CAPITAL LETTER K WITH DESCENDER
A741  ; [.125B.0020.0002.A741] # LATIN SMALL LETTER K WITH STROKE
A740  ; [.125B.0020.0008.A740] # LATIN CAPITAL LETTER K WITH STROKE
A743  ; [.125C.0020.0002.A743] # LATIN SMALL LETTER K WITH DIAGONAL STROKE
A742  ; [.125C.0020.0008.A742] # LATIN CAPITAL LETTER K WITH DIAGONAL STROKE
A745  ; [.125D.0020.0002.A745] # LATIN SMALL LETTER K WITH STROKE AND DIAGONAL STROKE
A744  ; [.125D.0020.0008.A744] # LATIN CAPITAL LETTER K WITH STROKE AND DIAGONAL STROKE
029E  ; [.125E.0020.0002.029E] # LATIN SMALL LETTER TURNED K
006C  ; [.1262.0020.0002.006C] # LATIN SMALL LETTER L
FF4C  ; [.1262.0020.0003.FF4C] # FULLWIDTH LATIN SMALL LETTER L; QQK
217C  ; [.1262.0020.0004.217C] # SMALL ROMAN NUMERAL FIFTY; QQK
24A7  ; [*02C8.0020.0004.24A7][.1262.0020.0004.24A7][*02C9.0020.001F.24A7] # PARENTHESIZED LATIN SMALL LETTER L; QQKN
2113  ; [.1262.0020.0005.2113] # SCRIPT SMALL L; QQK
24DB  ; [.1262.0020.0006.24DB] # CIRCLED LATIN SMALL LETTER L; QQK
004C  ; [.1262.0020.0008.004C] # LATIN CAPITAL LETTER L
FF2C  ; [.1262.0020.0009.FF2C] # FULLWIDTH LATIN CAPITAL LETTER L; QQK
216C  ; [.1262.0020.000A.216C] # ROMAN NUMERAL FIFTY; QQK
2112  ; [.1262.0020.000B.2112] # SCRIPT CAPITAL L; QQK
24C1  ; [.1262.0020.000C.24C1] # CIRCLED LATIN CAPITAL LETTER L; QQK
02E1  ; [.1262.0020.0014.02E1] # MODIFIER LETTER SMALL L; QQK
013A  ; [.1262.0020.0002.006C][.0000.0032.0002.0301] # LATIN SMALL LETTER L WITH ACUTE; QQCM
0139  ; [.1262.0020.0008.004C][.0000.0032.0002.0301] # LATIN CAPITAL LETTER L WITH ACUTE; QQCM
013E  ; [.1262.0020.0002.006C][.0000.0041.0002.030C] # LATIN SMALL LETTER L WITH CARON; QQCM
013D  ; [.1262.0020.0008.004C][.0000.0041.0002.030C] # LATIN CAPITAL LETTER L WITH CARON; QQCM
013C  ; [.1262.0020.0002.006C][.0000.0056.0002.0327] # LATIN SMALL LETTER L WITH CEDILLA; QQCM
013B  ; [.1262.0020.0008.004C][.0000.0056.0002.0327] # LATIN CAPITAL LETTER L WITH CEDILLA; QQCM
1E37  ; [.1262.0020.0002.006C][.0000.007A.0002.0323] # LATIN SMALL LETTER L WITH DOT BELOW; QQCM
1E36  ; [.1262.0020.0008.004C][.0000.007A.0002.0323] # LATIN CAPITAL LETTER L WITH DOT BELOW; QQCM
1E39  ; [.1262.0020.0002.006C][.0000.007A.0002.0323][.0000.005B.0002.0304] # LATIN SMALL LETTER L WITH DOT BELOW AND MACRON; QQCM
1E38  ; [.1262.0020.0008.004C][.0000.007A.0002.0323][.0000.005B.0002.0304] # LATIN CAPITAL LETTER L WITH DOT BELOW AND MACRON; QQCM
1E3D  ; [.1262.0020.0002.006C][.0000.0086.0002.032D] # LATIN SMALL LETTER L WITH CIRCUMFLEX BELOW; QQCM
1E3C  ; [.1262.0020.0008.004C][.0000.0086.0002.032D] # LATIN CAPITAL LETTER L WITH CIRCUMFLEX BELOW; QQCM
1E3B  ; [.1262.0020.0002.006C][.0000.008A.0002.0331] # LATIN SMALL LETTER L WITH LINE BELOW; QQCM
1E3A  ; [.1262.0020.0008.004C][.0000.008A.0002.0331] # LATIN CAPITAL LETTER L WITH LINE BELOW; QQCM
0142  ; [.1262.0020.0002.006C][.0000.008D.0002.0335] # LATIN SMALL LETTER L WITH STROKE; QQCM
0141  ; [.1262.0020.0008.004C][.0000.008D.0002.0335] # LATIN CAPITAL LETTER L WITH STROKE; QQCM
0140  ; [.1262.0020.0002.0140][.0000.01AF.0002.0140] # LATIN SMALL LETTER L WITH MIDDLE DOT; QQKL
006C 00B7 ; [.1262.0020.0002.0140][.0000.01AF.0002.0140] # LATIN SMALL LETTER L WITH MIDDLE DOT
006C 0387 ; [.1262.0020.0002.0140][.0000.01AF.0002.0140] # LATIN SMALL LETTER L WITH MIDDLE DOT
013F  ; [.1262.0020.0008.013F][.0000.01AF.0002.013F] # LATIN CAPITAL LETTER L WITH MIDDLE DOT; QQKL
004C 00B7 ; [.1262.0020.0008.013F][.0000.01AF.0002.013F] # LATIN CAPITAL LETTER L WITH MIDDLE DOT
004C 0387 ; [.1262.0020.0008.013F][.0000.01AF.0002.013F] # LATIN CAPITAL LETTER L WITH MIDDLE DOT
01C9  ; [.1262.0020.0004.01C9][.1237.0020.0004.01C9] # LATIN SMALL LETTER LJ; QQKN
01C8  ; [.1262.0020.000A.01C8][.1237.0020.0004.01C8] # LATIN CAPITAL LETTER L WITH SMALL LETTER J; QQKN
01C7  ; [.1262.0020.000A.01C7][.1237.0020.000A.01C7] # LATIN CAPITAL LETTER LJ; QQKN
1EFA  ; [.1262.0020.0004.1EFA][.1262.0020.0004.1EFA] # LATIN CAPITAL LETTER MIDDLE-WELSH LL; QQKN
1EFB  ; [.1262.0020.000A.1EFB][.1262.0020.000A.1EFB] # LATIN SMALL LETTER MIDDLE-WELSH LL; QQKN
33D0  ; [.1262.0020.001C.33D0][.1291.0020.001C.33D0] # SQUARE LM; QQKN
33D1  ; [.1262.0020.001C.33D1][.129F.0020.001C.33D1] # SQUARE LN; QQKN
33D2  ; [.1262.0020.001C.33D2][.12C0.0020.001C.33D2][.11E2.0020.001F.33D2] # SQUARE LOG; QQKN
02AA  ; [.1262.0020.0004.02AA][.1342.0020.0004.02AA] # LATIN SMALL LETTER LS DIGRAPH; QQKN
32CF  ; [.1262.0020.001D.32CF][.1365.0020.001D.32CF][.1182.0020.001F.32CF] # LIMITED LIABILITY SIGN; QQKN
33D3  ; [.1262.0020.001C.33D3][.13C9.0020.001C.33D3] # SQUARE LX; QQKN
02AB  ; [.1262.0020.0004.02AB][.13DF.0020.0004.02AB] # LATIN SMALL LETTER LZ DIGRAPH; QQKN
029F  ; [.1266.0020.0002.029F] # LATIN LETTER SMALL CAPITAL L
A747  ; [.126A.0020.0002.A747] # LATIN SMALL LETTER BROKEN L
A746  ; [.126A.0020.0008.A746] # LATIN CAPITAL LETTER BROKEN L
A749  ; [.126C.0020.0002.A749] # LATIN SMALL LETTER L WITH HIGH STROKE
A748  ; [.126C.0020.0008.A748] # LATIN CAPITAL LETTER L WITH HIGH STROKE
019A  ; [.126D.0020.0002.019A] # LATIN SMALL LETTER L WITH BAR
